위도,경도,주차장유형,주차구획수,주차장구분,주차장명
37.56550691,127.0686919,노상,17,공영,신일피혁주변
37.58191245,127.0355354,노상,58,공영,정릉천변
37.64357381,127.0046373,노상,61,공영,아카데미주차장
37.633421,127.019379,노상,35,공영,빨래골주차장
37.6409021,127.0197238,노상,36,공영,벽산주차장
37.6236742,127.0252199,노상,72,공영,으뜸공원주차장
37.6399531,127.0257738,노외,37,공영,시범주차장
37.66336998,127.0126665,노외,158,공영,교통광장주차장
37.61120246,127.033512,노외,6,공영,송중동(임시)주차장
37.63617032,127.0185352,노외,73,공영,인수동주차장
37.63333727,127.0206236,노외,80,공영,색동공원주차장
37.6427545,127.0559917,노상,35,공영,주공1-3단지주변주차장
37.6527467,127.0629849,노상,15,공영,주공4-6단지주변주차장
37.6657378,127.0556395,노상,13,공영,주공11단지상가 뒤주차장
37.6659979,127.0579317,노상,11,공영,주공12단지상가 뒤주차장
37.6757895,127.0565291,노상,64,공영,수락산디자인서울거리주차장
37.6395423,127.0651903,노외,123,공영,건영백화점앞주차장
37.6403161,127.0676909,노외,129,공영,등나무근린공원주차장
37.65683176,127.0676381,노외,104,공영,상계2동공영주차장
37.64487286,127.0583049,노외,248,공영,마들스타디움(근린공원)주차장
37.6155862,127.0651876,노외,29,공영,석계역앞주차장
37.6201058,127.0774206,노외,15,공영,공릉동 노외(구기계식)주차장
37.6600051,127.071002,노외,29,공영,상계역 서측 주택가 공영주차장
37.6439379,127.075519,노외,116,공영,한글비공영주차장
37.6396737,127.0744426,노상,15,공영,한신동성아파트 옆주차장
37.649959,127.0739725,노상,39,공영,청구건영아파트 옆주차장
37.6516166,127.0764455,노상,30,공영,주공5단지 옆주차장
37.6513157,127.0778023,노상,29,공영,신한증권 옆주차장
37.650302,127.0775454,노상,29,공영,유경백화점 뒤주차장
37.620174,127.0769385,노상,11,공영,(구)북부지법주변주차장
37.6531164,127.0579964,노상,41,공영,주공3단지상가주변주차장
37.6541107,127.0645944,노상,38,공영,주공6단지상가주변주차장
37.658447,127.0599957,노상,16,공영,주공7단지 옆주차장
37.65458133,127.0562972,노상,17,공영,구청사주변주차장
37.58094415,127.0799363,노외,567,공영,면목유수지
37.59827687,127.0734828,노외,372,공영,중화2동1.2.3.4
37.59189966,127.0949182,노외,55,공영,망우3동
37.58298757,127.0800613,노외,67,공영,면목5동
37.58966282,127.0755035,노외,77,공영,중랑초교
37.60272995,127.0816473,노외,230,공영,중화1동
37.6068612805,127.1106971521,노외,127,공영,"중랑캠핑숲 1,2,3"
37.61642416,127.0919550282,노외,86,공영,봉화산역(남)
