ADM_NM,GU_NM,n_cells,avg_urgency,avg_composite,avg_airspace,avg_obstacle,avg_noise,avg_terrain,avg_weather,pct_feasible
월계3동,노원구,17,0.066,0.664,1.0,0.822,0.946,0.882,0.963,100.0
월곡1동,성북구,12,0.092,0.428,1.0,0.689,0.71,0.875,0.947,100.0
월곡2동,성북구,20,0.12,0.535,1.0,0.856,0.811,0.8,0.924,85.0
위례동,송파구,34,0.144,0.0,0.0,0.959,0.973,0.956,0.97,0.0
은천동,관악구,11,0.112,0.32,1.0,0.852,0.641,0.682,0.897,90.909
을지로동,중구,8,0.16,0.247,1.0,0.572,0.561,0.812,0.939,100.0
응봉동,성동구,9,0.023,0.474,1.0,0.879,0.896,0.667,0.902,100.0
응암1동,은평구,17,0.102,0.471,1.0,0.822,0.794,0.735,0.924,100.0
응암2동,은평구,11,0.045,0.241,1.0,0.795,0.812,0.455,0.844,72.727
응암3동,은평구,9,0.107,0.314,1.0,0.862,0.592,0.667,0.918,100.0
이문1동,동대문구,14,0.129,0.29,1.0,0.667,0.59,0.821,0.95,100.0
이문2동,동대문구,10,0.032,0.464,1.0,0.743,0.754,0.9,0.957,100.0
이촌1동,용산구,39,0.118,0.761,1.0,0.896,0.972,0.885,0.958,97.436
이촌2동,용산구,15,0.015,0.792,1.0,0.964,0.95,0.9,0.959,100.0
이태원1동,용산구,9,0.139,0.343,1.0,0.801,0.642,0.722,0.918,88.889
이태원2동,용산구,13,0.052,0.378,1.0,0.898,0.775,0.654,0.89,76.923
이화동,종로구,11,0.15,0.295,1.0,0.611,0.693,0.773,0.921,90.909
인수동,강북구,40,0.083,0.433,1.0,0.891,0.841,0.662,0.898,85.0
인헌동,관악구,16,0.116,0.388,1.0,0.922,0.801,0.625,0.875,75.0
일원1동,강남구,14,0.082,0.0,0.0,0.839,0.89,0.964,0.964,0.0
일원본동,강남구,33,0.061,0.0,0.0,0.842,0.972,0.697,0.9,0.0
자양1동,광진구,8,0.106,0.414,1.0,0.786,0.613,0.938,0.954,100.0
자양2동,광진구,22,0.079,0.653,1.0,0.795,0.855,0.977,0.976,100.0
자양3동,광진구,17,0.105,0.559,1.0,0.716,0.872,0.941,0.97,100.0
자양4동,광진구,17,0.162,0.593,1.0,0.858,0.77,0.912,0.958,100.0
잠실2동,송파구,37,0.159,0.08,0.081,0.926,0.977,0.959,0.972,8.108
잠실3동,송파구,23,0.19,0.0,0.0,0.699,0.964,0.935,0.968,0.0
잠실4동,송파구,11,0.057,0.0,0.0,0.533,0.967,1.0,0.971,0.0
잠실6동,송파구,19,0.261,0.105,0.105,0.681,0.985,1.0,0.977,10.526
잠실7동,송파구,10,0.02,0.0,0.0,0.65,0.964,1.0,0.968,0.0
잠실본동,송파구,15,0.294,0.0,0.0,0.865,0.746,1.0,0.968,0.0
잠원동,서초구,23,0.173,0.638,1.0,0.757,0.926,0.935,0.966,100.0
장안1동,동대문구,18,0.181,0.593,1.0,0.862,0.771,0.917,0.955,100.0
장안2동,동대문구,14,0.137,0.597,1.0,0.844,0.78,0.929,0.97,100.0
장위1동,성북구,10,0.065,0.45,1.0,0.961,0.598,0.85,0.938,100.0
장위2동,성북구,10,0.043,0.522,1.0,0.876,0.669,0.95,0.963,100.0
장위3동,성북구,6,0.022,0.477,1.0,0.793,0.755,0.833,0.95,100.0
장지동,송파구,15,0.114,0.0,0.0,0.746,0.872,1.0,0.979,0.0
장충동,중구,13,0.05,0.404,1.0,0.767,0.862,0.692,0.906,84.615
전농1동,동대문구,14,0.152,0.478,1.0,0.856,0.603,0.964,0.968,100.0
전농2동,동대문구,13,0.052,0.399,1.0,0.659,0.825,0.846,0.946,92.308
정릉1동,성북구,5,0.042,0.433,1.0,0.689,0.733,0.9,0.952,100.0
정릉2동,성북구,17,0.058,0.401,1.0,0.945,0.755,0.647,0.915,94.118
정릉3동,성북구,46,0.06,0.467,1.0,0.887,0.885,0.674,0.895,89.13
정릉4동,성북구,49,0.061,0.413,1.0,0.959,0.956,0.5,0.842,67.347
제기동,동대문구,16,0.134,0.364,1.0,0.84,0.554,0.812,0.929,100.0
조원동,관악구,8,0.16,0.478,1.0,0.767,0.688,0.938,0.966,100.0
종로1·2·3·4가동,종로구,32,0.759,0.407,1.0,0.628,0.789,0.844,0.938,100.0
종로5·6가동,종로구,9,0.123,0.315,1.0,0.663,0.61,0.833,0.946,100.0
종암동,성북구,20,0.147,0.429,1.0,0.759,0.774,0.775,0.926,95.0
중계1동,노원구,8,0.077,0.587,1.0,0.65,0.938,1.0,0.966,100.0
중계2·3동,노원구,13,0.108,0.35,1.0,0.378,0.958,1.0,0.967,100.0
중계4동,노원구,21,0.08,0.417,1.0,0.841,0.959,0.619,0.886,76.19
중계본동,노원구,29,0.092,0.465,1.0,0.855,0.881,0.724,0.9,86.207
중곡1동,광진구,8,0.065,0.52,1.0,0.913,0.643,0.938,0.968,100.0
중곡2동,광진구,8,0.071,0.501,1.0,0.981,0.554,0.938,0.965,100.0
중곡3동,광진구,8,0.059,0.441,1.0,0.874,0.631,0.875,0.943,100.0
중곡4동,광진구,29,0.099,0.554,1.0,0.965,0.857,0.741,0.904,86.207
중림동,중구,5,0.043,0.396,1.0,0.673,0.706,0.9,0.924,100.0
중앙동,관악구,5,0.078,0.451,1.0,0.876,0.54,1.0,0.961,100.0
중화1동,중랑구,9,0.043,0.474,1.0,0.784,0.752,0.889,0.94,88.889
