h3_index,lat,lon,CSV_ADMI_CD,ADM_NM,GU_NM,delivery_demand_index,flow_pop_index,urgency,score_airspace,score_obstacle,score_noise,score_terrain,score_weather,composite_score,terrain_zone,avg_slope,tall_bldg_count,total_bldg_count,urgency_level,composite_level
8930e1c1343ffff,37.541237616496126,127.06599645545016,11215847,자양4동,광진구,0.13032345541123747,0.20920735730280482,0.16187701616786443,1.0,0.7666666666666667,0.6058823529411765,1.0,0.995099831301311,0.46223362752015806,Green,0.3449946343898773,3,405,높음,보통
8930e1d8a13ffff,37.539018888859964,126.99240837049874,11170660,이태원2동,용산구,0.041439028630017666,0.06829972896877004,0.05218330876551862,1.0,0.9222222222222223,0.5009345794392523,1.0,0.9837456309347494,0.45446392138136177,Green,1.1443830728530884,1,535,매우 낮음,보통
8930e1c11bbffff,37.57340715680894,127.07131331872795,11230660,장안2동,동대문구,0.089849639843585,0.20727195443168794,0.1368185656788262,1.0,0.8444444444444444,0.7872549019607843,0.5,0.9092194586339919,0.3022213786574905,Yellow,6.391371726989746,2,219,높음,보통
8930e1c8eabffff,37.46820656594605,127.10183697311525,11680700,세곡동,강남구,0.029264981931599536,0.34024352279736264,0.15365639827790478,0.0,1.0,0.9029411764705882,1.0,0.9786573555287411,0.0,Green,1.5026212930679321,0,99,높음,부적합
8930e1d0b9bffff,37.688532062969216,127.0178950345667,11320521,도봉1동,도봉구,0.055991250822118865,0.09829662673970907,0.07291340118915496,1.0,1.0,1.0,1.0,0.9334631661115078,0.9334631661115078,Green,4.684502124786377,0,0,낮음,최적
8930e1d888bffff,37.560519499563,126.9915615507993,11140570,필동,중구,0.14104865910731967,0.10670170448637534,0.12730987725894194,1.0,0.4555555555555556,0.7823529411764706,1.0,0.9539277752510937,0.3399848469571382,Green,3.2436985969543457,7,229,보통,보통
8930e1c006fffff,37.59928219831037,127.08135998585182,11260600,중화1동,중랑구,0.009004376901453968,0.09428076941666105,0.04311493390753681,1.0,0.8444444444444444,0.6607843137254902,1.0,0.9604821435338592,0.5359448509845142,Green,2.782240629196167,2,348,매우 낮음,보통
8930e1db67bffff,37.535803453913246,126.86916959662783,11470540,목4동,양천구,0.03864959006871583,0.10741378380099045,0.06615526756162568,1.0,0.6111111111111112,0.7578431372549019,1.0,0.9571645545114689,0.4432881376367658,Green,3.0158143043518066,5,252,낮음,보통
8930e1c1033ffff,37.56231434610593,127.05726365075711,11200790,용답동,성동구,0.05479608975740191,0.12464994883414976,0.08273763338810106,1.0,0.7666666666666667,0.8970588235294118,0.5,0.914419912063573,0.31444390603558653,Yellow,6.025235652923584,3,108,낮음,보통
8930e1c8d23ffff,37.4921019076713,127.127465244853,11710641,문정1동,송파구,0.033175740669393036,0.16003754362492983,0.08392046185160776,0.0,0.9222222222222223,0.8294117647058823,1.0,0.9906894026762824,0.0,Green,0.6555092930793762,1,175,낮음,부적합
8930e1d0a13ffff,37.67741922816711,127.003843684187,11305645,우이동,강북구,0.04242788060452547,0.10626919225896168,0.06796440526629996,1.0,1.0,0.9872549019607844,0.0,0.7,0.0,Red,21.532032012939453,0,13,낮음,부적합
