admi_cty_no,hour,total_del_amt,total_del_cnt,hour_ratio
11020730,4,86721380.17041945,5920.99932679107,0.0842091671437747
11020730,5,360939225.0422164,13785.260739639536,0.35048325419401016
11020730,6,256281905.67297322,5691.532074033995,0.2488577302198178
11030510,1,71423700.05725978,3146.3070874724062,0.03569750313665795
11030510,2,83538349.1541999,6145.545139470571,0.04175239421330097
11030510,3,594278572.6636024,26451.907484754818,0.2970199134839032
11030510,4,171265465.13573068,10323.34401818913,0.08559833044189234
11030510,5,729179105.043873,27373.201302978752,0.3644430821789008
11030510,6,351118611.6128919,10931.427844113081,0.17548877654534478
11030520,1,75013073.4465348,1582.5521759039466,0.03991329230692023
11030520,2,18387343.827761024,1568.9107638244939,0.009783620310776288
11030520,3,294782314.431334,12557.004910780226,0.1568490949940116
11030520,4,222170524.80012465,10577.996572282998,0.11821348854142809
11030520,5,892840513.8981566,30227.381431545404,0.47506658209488684
11030520,6,376207028.45048237,9980.939093260653,0.20017392175197696
11030530,1,1067825122.7630792,19492.16045666933,0.0962816737236039
11030530,2,261505997.6171969,28012.547541436204,0.02357898742276627
11030530,3,2144833807.244783,112932.41148503016,0.19339139379502665
11030530,4,515689771.4252461,28941.076242540086,0.046497758159583694
11030530,5,3592500863.457863,90796.38600024465,0.3239219499651715
11030530,6,3508281746.399529,64018.59146095814,0.3163282369338481
11030570,1,27446609.602782752,289.57442022416444,0.026617085147649877
11030570,2,13346958.395643175,997.8654838286229,0.012943570561915816
11030570,3,386154735.32919854,18611.05144079131,0.37448390235358553
11030570,4,92506291.9440703,4653.984154867702,0.08971045549899302
11030570,5,377590926.3019646,9172.212853374833,0.36617891906548616
11030570,6,134119591.00464709,1724.964323600271,0.13006606737236961
11030580,1,11921815.230646988,283.207337164751,0.037855681148903905
11030580,2,23863382.106448177,2000.4970554064857,0.07577408026203206
11030580,3,95781125.89447363,6249.977650695554,0.304136550667498
11030580,4,39528126.111007825,2799.1606606420164,0.12551479028338947
11030580,5,94472207.71565184,4686.6088283305,0.29998030530814157
11030580,6,49361376.69588554,1413.8632393425482,0.15673859233003487
11030590,1,53502816.64636187,1080.1766128877935,0.04135828679597026
11030590,2,86870879.55193056,5081.829754108413,0.06715217956606853
11030590,3,198344678.8930628,12338.221145249212,0.15332269641680124
11030590,4,118997051.50778702,7779.360475398684,0.09198607648385478
11030590,5,549613628.6755157,22488.759961722826,0.424857596413694
11030590,6,286312939.86656487,7678.781697929089,0.221323164323611
11030630,1,217753515.37484702,3030.127777636581,0.04383598458900423
11030630,2,92164189.7100135,6633.715522443644,0.018553583361588712
11030630,3,1326257823.2468934,55259.86906624361,0.2669891110635667
11030630,4,589484534.74497,34358.7330722236,0.11866919776727386
11030630,5,1837183179.9670928,64549.77765947324,0.36984355189665025
11030630,6,904617107.5437708,13732.237342144324,0.18210857132191627
11030640,1,7187997.040536546,185.2373773608045,0.03761487062316548
11030640,2,154311.4113508364,9.359485256337063,0.0008075133783314011
11030640,3,47375114.425950184,1525.8791303480205,0.24791451496712902
11030640,4,14078209.632985435,719.4482764065448,0.07367143182783238
11030640,5,75738112.92662318,3569.27163837243,0.3963384101177891
11030640,6,46560811.62078677,1719.7867247379115,0.2436532590857526
11030650,1,5279826528.121137,139888.25666070564,0.39494471979640283
11030650,2,570761274.7785674,15754.40697660018,0.04269442386742126
