h3_index,상권업종대분류명,store_count
8930e03638bffff,교육,13
8930e03638bffff,보건의료,22
8930e03638bffff,부동산,5
8930e03638bffff,소매,79
8930e03638bffff,수리·개인,34
8930e03638bffff,시설관리·임대,1
8930e03638bffff,예술·스포츠,24
8930e03638bffff,음식,83
8930e03638fffff,과학·기술,2
8930e03638fffff,교육,8
8930e03638fffff,부동산,2
8930e03638fffff,소매,14
8930e03638fffff,수리·개인,15
8930e03638fffff,시설관리·임대,3
8930e03638fffff,음식,14
8930e036393ffff,과학·기술,1
8930e036393ffff,교육,9
8930e036393ffff,부동산,1
8930e036393ffff,소매,17
8930e036393ffff,수리·개인,13
8930e036393ffff,예술·스포츠,1
8930e036393ffff,음식,10
8930e03639bffff,과학·기술,15
8930e03639bffff,교육,3
8930e03639bffff,보건의료,3
8930e03639bffff,부동산,8
8930e03639bffff,소매,34
8930e03639bffff,수리·개인,16
8930e03639bffff,시설관리·임대,4
8930e03639bffff,예술·스포츠,13
8930e03639bffff,음식,46
8930e0363abffff,과학·기술,2
8930e0363abffff,교육,5
8930e0363abffff,부동산,4
8930e0363abffff,소매,6
8930e0363abffff,수리·개인,5
8930e0363abffff,시설관리·임대,4
8930e0363abffff,예술·스포츠,2
8930e0363abffff,음식,3
8930e0363bbffff,과학·기술,2
8930e0363bbffff,교육,5
8930e0363bbffff,소매,4
8930e0363bbffff,수리·개인,5
8930e0363bbffff,시설관리·임대,1
8930e0363bbffff,음식,2
8930e0363c3ffff,과학·기술,2
8930e0363c3ffff,교육,2
8930e0363c3ffff,소매,5
8930e0363c3ffff,수리·개인,1
8930e0363c3ffff,시설관리·임대,1
8930e0363c7ffff,과학·기술,9
8930e0363c7ffff,교육,5
8930e0363c7ffff,부동산,5
8930e0363c7ffff,소매,14
8930e0363c7ffff,수리·개인,13
8930e0363c7ffff,시설관리·임대,5
8930e0363c7ffff,음식,11
8930e0363cbffff,소매,2
8930e0363cbffff,수리·개인,2
8930e0363cbffff,시설관리·임대,1
8930e0363cfffff,교육,1
8930e0363cfffff,소매,1
8930e0363cfffff,수리·개인,2
8930e0363cfffff,시설관리·임대,1
8930e0363d3ffff,과학·기술,10
8930e0363d3ffff,교육,24
8930e0363d3ffff,보건의료,2
8930e0363d3ffff,부동산,4
8930e0363d3ffff,소매,25
8930e0363d3ffff,수리·개인,13
8930e0363d3ffff,시설관리·임대,3
8930e0363d3ffff,예술·스포츠,5
8930e0363d3ffff,음식,24
8930e0363d7ffff,과학·기술,6
8930e0363d7ffff,교육,4
8930e0363d7ffff,부동산,4
8930e0363d7ffff,소매,16
